Holidays and Observances in United States in 2018,,,,
7-Aug,Tuesday,Purple Heart Day,Observance,
,,,,
,,,,
13-Aug,Monday,Victory Day,State holiday,Rhode Island
15-Aug,Wednesday,Assumption of Mary,Christian,
16-Aug,Thursday,Bennington Battle Day,State holiday,Vermont
17-Aug,Friday,Hawaii Statehood Day,State holiday,Hawaii
,,,,
19-Aug,Sunday,National Aviation Day,Observance,
21-Aug,Tuesday,Senior Citizens Day,Observance,
22-Aug,Wednesday,Eid al-Adha,Muslim,
,,,,
25-Aug,Saturday,Raksha Bandhan,Hindu Holiday,
26-Aug,Sunday,Women's Equality Day,Observance,
27-Aug,Monday,Lyndon Baines Johnson Day,State holiday,Texas
,,,,
,,,,
,,,,
,,,,
2-Sep,Sunday,Janmashtami,Hindu Holiday,
3-Sep,Monday,Labor Day,Federal Holiday,
,,,,
,,,,
,,,,
8-Sep,Saturday,Carl Garner Federal Lands Cleanup Day,Observance,
9-Sep,Sunday,National Grandparents Day,Observance,
9-Sep,Sunday,California Admission Day,Local observance,California
,,,,
10-Sep,Monday,Rosh Hashana,State holiday,Texas***
10-Sep,Monday,Rosh Hashana,Jewish holiday,
11-Sep,Tuesday,Patriot Day,Observance,
12-Sep,Wednesday,Ganesh Chaturthi,Hindu Holiday,
12-Sep,Wednesday,Muharram,Muslim,
,,,,
,,,,
,,,,
15-Sep,Saturday,National CleanUp Day,Observance,
,,,,
17-Sep,Monday,Constitution Day and Citizenship Day,Observance,
18-Sep,Tuesday,Air Force Birthday,Observance,
19-Sep,Wednesday,Yom Kippur,State holiday,Texas***
19-Sep,Wednesday,Yom Kippur,Jewish holiday,
,,,,
21-Sep,Friday,National POW/MIA Recognition Day,Observance,
22-Sep,Saturday,Emancipation Day,Local observance,Ohio
22-Sep,Saturday,September Equinox,Season,
,,,,
24-Sep,Monday,First Day of Sukkot,Jewish holiday,
,,,,
,,,,
,,,,
,,,,
28-Sep,Friday,Native American Day,Local observance,California
,,,,
30-Sep,Sunday,Last Day of Sukkot,Jewish holiday,
